site,month,day,year,do,temp,ph,cond,chl,alk,turb,nh3,tn,no3,tp,srp
LOU,6,24,2013,9.92,19.5,7.4,61.7,5.2,21.1,0.77,4.1,281.5,1.8,10.2,1.3
MAR,9,21,2009,8.9,19.7,7.9,110,4.2,32.6,1.3,22.6,432,-0.5,5.5,1.5
MAR,6,21,2010,8.3,18.3,7.7,101,6.6,28.8,0.9,9,420,-9.3,3.7,0.2
MAR,7,25,2011,8.5,20.9,8,104,3.5,31.5,0.6,-1.4,480,5.4,1.7,0.9
MAR,8,6,2012,9.1,24.2,7.9,101,2,29.3,0.8,3.9,378,6.8,-3.1,1.9
MAR,7,10,2013,8.92,23.4,7.8,99.3,2.6,28.9,0.6,8,410.4,0.4,8.4,0.7
MCM,4,17,2007,12.5,10.4,7.4,98,16.3,27.4,3,9.7,983.5,636.6,17.9,9.2
MCM,8,22,2007,10.7,21.2,8.5,101,12.4,33.2,1.8,15.6,366.3,19.2,19.2,6.4
MCM,8,20,2008,9,22,8.7,103,4.7,33.3,1.1,14.7,328.2,16.6,12.2,3
MCM,5,21,2009,9.8,17.8,7.9,99,2.7,29.2,0.9,4.9,809.1,549.7,9.7,7.1
MCM,9,14,2009,8.2,20.2,8,104,3.8,33.7,0.7,2.9,243,-0.5,6.5,5.5
MCM,7,12,2010,8.1,21.7,8.8,97,4.4,31.2,1.4,10.4,336,-0.1,17.8,10.8
MCM,7,27,2011,9.5,20.2,8.2,94,2.5,29.7,0.7,14,591,257,11.4,7.9
MCM,8,15,2012,10.7,24.2,8.8,95,4.2,29.6,1.3,1.2,322,47.9,6.4,10
MCM,6,26,2013,11.18,20.5,9,89.3,10.4,27.1,1.3,4.1,591.7,164.1,12.4,1.3
MIR,4,19,2007,11.6,8.4,6.8,49,2.7,17.2,2.4,13,120.4,42.5,7.7,5.6
MIR,8,23,2007,8.5,18.5,7,58,7.8,16.4,24,-3.2,149.9,1.6,42.4,7.7
MIR,4,17,2008,13.4,5.7,7.2,57,2.5,19.3,2.4,8.1,177.6,152.3,17,5.1
MIR,8,13,2008,9.4,15.8,7,56,0.9,13.6,10.7,1.8,97.7,30.1,23.8,7.1
MIR,8,10,2009,7.7,20.4,7.3,56,3.5,21.8,1.3,1.3,347,2.4,16.9,3.5
MIR,6,16,2010,9.5,11.7,7.1,49,0.9,18.4,2.3,11.8,221,71.8,3.7,8.2
MIR,4,19,2012,12.4,6.9,7.3,66,6.6,18.2,4.8,4.3,177,92.7,10.6,4.4
MIR,6,24,2013,8.98,19,7.1,45.7,3,17.3,4.57,3.4,218.4,1.9,18.3,2.7
MON,8,21,2012,9.3,19.6,6.9,27,0.4,10.1,1.4,45.7,183,15.4,8.2,6.2
MYR,8,21,2012,7.1,23.1,6.9,27,7.7,11.6,8.5,1.8,306,5.5,15,4.2
MYR,8,14,2013,7.69,22.8,7.3,28.3,5.3,12.4,0.487,-4.5,285.6,6.7,13.5,0.8
PAD,4,9,2007,10,11.3,7.1,91,3,21.1,0.8,27.9,548.7,323.3,14.6,6.8
PAD,8,23,2007,8.3,20.6,7.5,97,4.8,27.1,0.7,15.6,348.5,1,9.4,3.5
PAD,5,1,2008,12.1,11.3,8,99,8.4,26.6,1.3,12.1,404.1,114.7,9.8,2
PAD,8,18,2008,8.8,22.8,8.2,104,4.4,30.9,2,3,338.6,0.5,0.8,1.9
PAD,4,20,2009,10.1,13.7,7.7,97,2.7,25.3,1.2,10.4,555,300.8,11,3.5
PAD,8,10,2009,8.2,21,8.2,103,4.8,28.8,1.2,7.4,337,1.4,7.4,2.1
PAD,6,16,2010,9.8,16.5,7.9,100,10.6,28.3,1,8.7,336,1.7,3.8,3.1
PAD,6,27,2011,10.2,19.4,8.1,98,5.1,28,0.8,11.2,422,145,4.7,4.1
PAS,3,27,2007,10.6,9.5,7.6,278,9,73.3,2.5,69.7,674.3,8.4,13.2,1.7
PAS,8,14,2007,9.7,20.1,8.4,291,41.2,79.6,6.7,9.7,793.2,0.7,29.9,4.6
PAS,8,27,2008,8.8,20,8.6,288,9.9,76.3,4.1,20.7,655.7,1.2,30.5,5.6
PAS,5,14,2009,9.9,16.2,8.1,276,1.4,70.1,1,15.7,576,-1.2,7.8,1.2
PAS,8,24,2009,9.7,20.3,8.5,294,11.2,77.4,3.6,8.4,737,-0.2,31.7,6.6
PAS,7,7,2010,8.5,19.2,8.1,284,6.5,75,3,-0.1,705,1.2,17.1,5.5
PAS,7,20,2011,7.6,19.5,8.1,279,5.9,73.6,2,2.8,527,6,8.6,6.9
PAS,7,24,2012,9.1,19.2,8.1,278,6.2,72.4,2.1,5.9,580,5,15,5.1
PAS,7,31,2013,9.1,20.3,8.3,284,16.6,76.3,2.52,6.7,682.3,6.6,19.6,0.5
PIC,8,19,2007,8.2,15.1,6.2,12,3.9,3.4,0.5,0.4,140.4,2.6,12.2,0.5
PIC,8,25,2008,8.5,15.6,6.7,15,2.4,3.3,0.9,4.1,164.3,9.4,13.3,0
PIC,9,8,2009,8.4,15.5,6.7,51,1,3.6,0.7,3.9,202,1.8,10.6,2
PIC,9,15,2010,9.8,13.9,6.8,17,2.1,3.4,1.9,8.8,237,0.6,5.7,0.8
PIC,8,29,2011,8.5,21.1,6.6,10,1.4,2.5,0.7,10.6,85,3.3,1.9,0.3
PIC,8,28,2012,8.6,17.2,6.5,10,0.9,2.5,1.5,2.6,169,4.8,11.1,3
PIC,8,5,2013,8.23,21.5,6.7,11.1,2.5,2.7,0.479,-3.8,211.7,6.2,10.3,1.2
PIC,8,19,2013,8.13,17.2,6.8,11.2,1.2,2.8,1.05,-0.9,240.6,6.4,18.7,0.8
PIN,8,14,2008,7.4,21,7.1,42,1.3,9.8,0.4,10.4,425.8,103.7,0.7,2.7
REE,4,19,2007,9.5,11.5,6.5,58,3.3,15.6,2.5,61.3,877.9,609.1,15,7.3
REE,8,23,2007,8.2,19.7,7,55,2.5,18.9,1.1,17.2,380.4,3.6,17.4,4.9
REE,4,17,2008,11.2,9.2,6.8,58,3,13.7,2.4,16.2,1060.1,972.5,19.5,3.2
REE,8,13,2008,7.8,21.3,7.5,51,3.3,16.3,1.4,7,397.3,1.2,17.2,4.3
REE,5,26,2009,7.8,19.5,7,60,15.2,18,4.2,41.5,1029.2,521.3,37.9,5.4
REE,8,10,2009,5.6,18.8,6.8,50,2.8,15.5,2.7,73.3,546,19.8,39.8,7.8
REE,6,16,2010,8.7,15.8,7,53,4,15.8,3.1,18.8,693,374,15.1,4.3
REE,1,13,2011,12.5,4.9,6.7,56,1.7,11.7,4.3,13.9,1468,1162,18.9,3.3
REE,2,10,2011,12.1,5.7,6.7,53,0.5,11.5,2.1,3.1,1174,974,13.6,3.2
REE,3,10,2011,12.6,5.5,6.7,59,5.9,13.5,3.4,4.8,1078,876,21.5,2.9
REE,4,7,2011,11.4,7.2,6.9,48,0.8,10.5,2.5,10,1052,869,18.9,3.3
REE,5,12,2011,9.9,10.2,6.9,49,1.6,12.6,2.8,0.2,726,556,17.4,3.1
REE,6,2,2011,11.1,14,7.2,52,6,15,1.6,2.6,649,419,17.4,6.6
REE,4,19,2012,10.9,11.7,7.1,56,2.6,13.9,1.1,6.3,1152,966,8.9,3.7
REE,6,24,2013,9.01,19,7,59.4,4.1,19.3,0.82,34,778.3,339.8,15,5.2
SAM,8,26,2013,9.61,22.1,9,65.1,4.4,19.3,1.02,-0.9,297.4,45.1,9.6,3.6
SDY,8,31,2009,7.3,21.1,7.7,96,5.7,27.2,1.6,10.2,752,0.6,17.6,4.6
SDY,6,23,2010,7.9,20.5,7.3,92,4.7,24.2,1.7,21.2,945,4,23.2,8.5
SDY,7,25,2011,6.4,21.2,7,83,5.7,24.7,0.9,5.7,605,7.6,20.8,4.6
SDY,7,15,2013,7.92,23,7,77.5,2.8,23,0.65,0.8,548.4,1,24.1,1.6
SHA,9,13,2010,9,17.8,7.1,46,1,13.1,1.4,1.4,46.8,3.8,8.4,5.9
SHA,8,31,2011,10.7,16.5,7.3,42,2.1,12.7,2.7,0,68,3.4,6.4,4.3
SHO,9,21,2009,8.4,17.2,7.9,114,2.2,41,0.9,18.4,449,3.5,4.5,1.7
SHO,6,21,2010,8.4,17.8,7.8,102,4.9,35.9,1,3.2,405,-0.2,-2.5,4.9
SHO,7,25,2011,8.3,19.5,7.9,98,3.4,36.7,1.5,2,421,4.4,-1.9,0.3
SHO,8,6,2012,8.6,22.8,7.6,97,3.5,33.8,6.3,6.2,489,7,13.8,2.3
SHO,7,10,2013,8.63,21.8,7.6,95.9,2.6,32.9,1.62,7.6,430,2.5,9.4,0.8
SIL,8,19,2007,8.8,20.1,7.6,141,5.2,55.3,0.7,28.7,208.8,6.9,15.6,4.9
SIL,8,25,2008,8.2,19.7,7.9,137,3.8,53.7,3.5,12.8,250.1,12.8,18.4,3.8
SIL,9,8,2009,7.5,18.9,8.1,138,1.3,51.1,0.6,12.3,220,0.3,8.3,6.7
SIL,9,15,2010,9.5,17.5,8.1,141,11.6,50.6,5.8,20.4,584,2.7,15,7.6
SIL,8,29,2011,7.7,21.9,7.8,150,4.8,58.5,0.8,7,218,3.7,5.9,5.4
SIL,8,28,2012,8.5,20.2,7.9,145,1.3,56.3,0.8,11.3,229,5.3,13.2,8.1
SIL,8,5,2013,8.4,23.3,7.9,138.1,2.5,52.8,0.928,0.2,212.6,6.2,10.4,0.5
SIX,9,14,2009,7.5,19.3,7.3,91,3.1,32.4,0.7,11.3,323,0.4,15.8,4.1
SIX,7,12,2010,7.7,22.5,7.4,88,4,29.9,1.2,6.4,351,1.5,24.6,3
SIX,7,27,2011,8.6,19.4,7.8,83,1.9,31.4,0.7,10.1,469,6.2,11.4,6.5
SIX,8,15,2012,9.5,24.9,8,89,2.2,34.3,0.7,5.1,325,14.2,14,7.2
SIX,6,26,2013,9.29,20.7,7.7,85.4,5.5,31.9,1.28,4.1,586.4,210.2,16.8,2.5
SQA,4,9,2007,9.5,10.9,6.8,66,4.9,20.4,5.6,27.5,1120.8,429.1,40.7,7.8
SQA,8,15,2007,7.2,20.6,7,68,6.3,26.7,1.2,10.7,762.6,2.5,23.3,5.2
SQA,5,1,2008,8.7,10.8,6.9,75,12.9,25.7,4.2,13.3,1053.6,168.9,44,3.6
SQA,8,18,2008,4.5,23,6.8,77,1.8,29.8,1.6,10.6,929.6,7.1,25.5,3.7
SQA,4,20,2009,9.5,15.2,7.5,72,10.3,25.7,2.5,10.3,939.7,193.3,24.2,4.1
SQA,8,18,2009,5.2,23.4,7,68,6.5,25.8,7.1,5.8,1105,1.8,53.6,5.7
SQA,6,28,2010,6.4,17.8,7.1,74,9.5,39.9,2.5,10,942,3.2,33.3,7.8
SQA,8,29,2011,7.4,19.7,7.2,68,2.4,27.5,1.4,12,724,6.9,30,2.7
SQA,3,27,2012,10.3,8.2,6.5,66,8.4,19.2,7.6,24.8,1504,767,33.9,2.3
SQA,6,19,2012,10.1,17.3,7.5,69,117.9,26.5,6.5,11.2,1743,59.1,87.3,4
SQA,6,19,2013,8.6,19.4,7.4,72.5,6.1,29.5,1.42,17.8,882.1,7.8,30.3,5.1
SQI,4,19,2007,11.1,11,6.6,44,2.9,13.6,1.3,15.9,455.8,173,9.5,4.3
SQI,8,23,2007,2.7,19.8,6.1,43,15.7,15.5,0.6,4.4,389.1,1.8,10.1,3.6
SQI,4,17,2008,10.7,9.5,6.9,48,8,15.3,1.6,11.4,372.9,137.1,19.5,3
SQI,8,13,2008,6.4,20.3,6.9,45,54.6,16.8,4.4,13.5,751.2,1.4,42.6,13.8
SQI,5,26,2009,7.8,20,7.3,43,2.3,15.8,0.7,-1.1,354.4,-1.1,18.4,1.2
SQI,8,10,2009,3,19.7,6.6,46,4.1,17.7,0.8,3.5,402,3,16.8,2.3
SQI,6,16,2010,8.2,16.4,6.9,43,4.2,16.2,1,6.6,298,4.2,10.6,3.7
SQI,6,27,2011,9.6,20,7.3,41,2.3,16.1,0.6,16.1,285,8.1,7.3,4.8
SQI,4,19,2012,10.5,11.8,7.2,54,6.5,13.8,1,-1.1,413,163,15.2,2.5
SQI,6,24,2013,8.26,19.3,6.7,41.8,4.8,16,0.74,3.7,409.1,1.7,17.1,1.8
SRZ,8,28,2012,8.7,16.4,7,12,0.7,4.1,0.4,3.6,136,4.9,4.3,2.6
SRZ,8,19,2013,8.2,16.4,7,15.9,6.4,5.2,1.16,-2.8,313.8,7.1,23.8,2.9
SUM,9,14,2009,6.5,19.1,6.7,34,8.2,10.3,0.6,5.6,369,0.5,16,3.8
SUM,7,12,2010,3,20.5,6.2,32,3.1,30,1,3.5,459,2,37,2.2
SUM,7,27,2011,6.1,18.9,6.5,29,6.6,9,0.9,9.4,537,7,18.1,2
SUM,8,15,2012,1.6,20.8,6.4,35,3.1,11.7,0.9,10,559,9.6,20.3,3
SUM,6,26,2013,5.09,16.6,6.2,33.8,10.5,10.2,1.99,14.6,882.3,5.3,46.6,9
SUN,4,9,2007,11.3,12.3,7.4,120,28.5,47.1,6.6,16.7,854.6,391.1,46.2,11.6
SUN,8,15,2007,15.5,22.9,9.3,176,44.6,80,9.4,6.6,751.1,1.9,25.4,3.2
SUN,5,1,2008,10.4,10.9,7.7,137,9.3,55.9,9.5,9.5,939.8,261.5,60.8,11.5
SUN,8,18,2008,8.5,23.8,8.8,153,9.6,64,4.3,5.2,607.5,1.3,22,2.2
SUN,4,20,2009,11.2,14.3,8,137,6.4,54.6,6.1,10.9,667.2,119.7,44.8,8.6
SUN,8,18,2009,11.3,23.8,9,156,11.6,66.8,4.7,5.1,550,0.9,21.3,2.7
SUN,6,28,2010,8.7,18.3,8.2,139,10.1,61.1,2.3,8.6,572,3.5,18.3,10
SUN,6,27,2011,10.1,20.9,8.1,151,5,65.8,2.7,12.1,468,7.9,27.1,8.3
SUN,3,27,2012,11.3,7.7,7,113,3.7,41.5,8.1,7.7,1107,661,43.5,13.1
SUN,6,19,2012,8.6,16.6,7.5,147,3.1,60.7,5,37.7,644,144.7,53.7,11.8
SUN,6,19,2013,9.67,20.7,7.9,145.2,4.6,62.8,1.08,19.5,586,21.9,36.6,9.5
TEN,4,11,2007,8.2,10.8,6.8,136,7.3,51.5,3.3,9.2,622.2,1.8,42.4,6.2
TEN,8,15,2007,0.5,16.3,6.3,123,21.4,50.4,5.5,38.2,1143.1,2.5,107.7,4.9
